"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"126",7,-0.0340701798056567,NA,-0.0219048304331645,0,10
"127",5,NA,0.0368546788577441,NA,0,10
"128",10,NA,0.000622704439426972,NA,0,10
"129",3,0.156481337910171,NA,0.149279391251965,0,10
"130",4,-0.0103842061953923,NA,-0.00230534460295961,0,10
"131",1,0.163633841213295,NA,0.169430081614564,0,10
"132",5,0.15329432486,NA,0.159306234022947,0,10
"133",9,0.160458621422177,NA,0.163621653839734,0,10
"134",4,-0.00197191540427111,NA,-0.0575290116088618,0,10
"135",9,0.00938510225969885,NA,0.0394204539648168,0,10
"136",1,NA,0.100060990748591,NA,0,10
"137",9,0.0279351794618581,NA,0.00165092311701265,0,10
"138",6,NA,NA,0.00645400434741139,0,10
"139",7,0.00717195487594491,NA,NA,0,10
"140",4,NA,0.000413784102086988,NA,0,10
"141",10,NA,0.000980912473791692,NA,0,10
"142",4,NA,-0.0387898458391492,NA,0,10
"143",6,NA,-0.0639376297825752,NA,0,10
"144",10,NA,-0.022629107777426,NA,0,10
"145",2,NA,-0.0175047651659713,NA,0,10
"146",4,0.136511230012489,NA,0.163796061537312,0,10
"147",5,0.184318374684401,NA,0.185317440091249,0,10
"148",10,0.169417709110539,NA,0.174295213703623,0,10
"149",8,0.0745166820627562,NA,0.0635085795290835,0,10
"150",3,0.0927317923380401,NA,0.1114324534248,0,10
"151",6,NA,0.0579359212707826,NA,0,10
"152",9,NA,0.0332982687261689,NA,0,10
"153",10,NA,0.00601863411860615,NA,0,10
"154",7,0.0530568423422955,NA,0.105640634757656,0,10
"155",9,0.0156726443551142,NA,0.00077743153806864,0,10
"156",7,-0.159869271107906,NA,-0.176120896327003,0,10
"157",7,NA,-0.058910073268735,NA,0,10
"158",3,0.00225082489865245,NA,0.000907929322287799,0,10
"159",10,0.183133683256878,NA,0.184365534473265,0,10
"160",1,0.141509952490446,NA,0.153798982716655,0,10
"161",3,0.0907117661009837,NA,0.0752379393246401,0,10
"162",2,NA,-0.077324008149896,NA,0,10
"163",4,NA,-0.0194023158097257,NA,0,10
"164",8,NA,-0.00438389565210429,NA,0,10
"165",9,NA,-0.166637079389179,NA,0,10
"166",10,NA,-0.0783781463978969,NA,0,10
"167",10,-0.0798065374913512,NA,-0.0777216425770815,0,10
"168",4,0.109465983947078,NA,0.140446189307584,0,10
"169",3,0.1263107434978,NA,0.13587594298591,0,10
"170",1,0.00395362943794986,NA,0.00632820354692245,0,10
"171",1,0.101163593369382,NA,0.12223617466779,0,10
"172",4,-0.00426647308776163,NA,-0.00841283765722759,0,10
"173",7,NA,0.00639845206075773,NA,0,10
"174",8,NA,0.0784302410241841,NA,0,10
"175",8,0.0490632949497184,NA,0.0844240706054289,0,10
"176",8,NA,-0.000666835887765187,NA,0,10
"177",2,0.106882659456445,NA,0.131364227810505,0,10
"178",8,0.00561021697584441,NA,0.00213058142477329,0,10
"179",10,0.0622726642271252,NA,0.0928079974302054,0,10
"180",1,0.0470164554793838,NA,0.0574463612107851,0,10
"181",8,NA,-0.0153525355590846,NA,0,10
"182",9,NA,-0.0698288392841534,NA,0,10
"183",1,NA,-0.223809538693716,NA,0,20
"184",3,NA,-0.0267490451772833,NA,0,20
"185",1,-0.00712389372294642,NA,-0.0221126081660635,0,20
"186",7,NA,0.000428889215010203,NA,0,20
"187",7,NA,-0.0585902747873626,NA,0,20
"188",1,-0.0280452175041686,NA,-0.00617144405101479,0,20
"189",2,-0.00396019848066387,NA,-0.0105738443354457,0,20
"190",10,NA,NA,0.000203363523731732,0,20
"191",1,-0.156533088960563,NA,-0.172646353917486,0,20
"192",3,-0.036827413182875,NA,-0.0399922795781175,0,20
"193",10,0.0410516247753305,NA,0.0346244189466543,0,20
"194",10,NA,0.044571390258675,NA,0,20
"195",8,NA,-0.015573259030625,NA,0,20
"196",1,-0.0230490854236268,NA,-0.0366303728118568,0,20
"197",1,-0.11771336891281,NA,-0.127929377447165,0,20
"198",3,-0.0553664695846981,NA,-0.0546893543757804,0,20
"199",10,NA,0.0148236485004882,NA,0,20
"200",4,-0.022308421050911,NA,-0.0281087194971924,0,20
"201",4,-0.00043850227901931,NA,NA,0,20
"202",3,0.00308283957945064,NA,0.00298917885434933,0,20
"203",2,NA,-0.0591129061161636,NA,0,20
"204",9,-0.0297438040274788,NA,-0.0243960916869974,0,20
"205",4,NA,0.0114734185714035,NA,0,20
"206",5,NA,0.00411055365636193,NA,0,20
"207",7,NA,NA,0.00397858242860472,0,20
"208",1,-0.134495822058599,NA,-0.140064309271248,0,20
"209",8,NA,NA,-0.0080597531097063,0,20
"210",4,NA,-0.00945005603415692,NA,0,20
"211",4,NA,-0.0391897740827176,NA,0,20
"212",8,NA,-0.0550384062243917,NA,0,20
"213",10,0.0100518591499071,NA,0.0146377941200824,0,20
"214",1,NA,0.0577585529465031,NA,0,20
"215",7,NA,-0.0492300797060559,NA,0,20
"216",4,-0.155767885149217,NA,-0.155740562802138,0,20
"217",4,0.00106912335793527,NA,0.000950538235060127,0,20
"218",10,0.0152981080574188,NA,0.0183764353936942,0,20
"219",1,-0.0261456955115463,NA,-0.018528908062816,0,20
"220",10,-0.000500469376571279,NA,-0.000403815005541268,0,20
"221",1,NA,-0.135561126858986,NA,0,20
"222",9,0.00221378167954034,NA,NA,0,20
"223",1,-0.00175822422170875,NA,-0.000735365314427548,0,20
"224",6,0.073819287746204,NA,0.0607191476604562,0,20
"225",8,NA,-0.000605991349890811,NA,0,20
"226",1,-0.137788860952177,NA,-0.153496626154616,0,20
"227",10,0.0190769624580654,NA,0.00665671641370513,0,20
"228",10,0.02228568905762,NA,0.025807096571364,0,20
"229",1,0.00169450718254044,NA,0.00293696744768969,0,20
"230",3,NA,0.00809880953567832,NA,0,20
"231",3,-0.0522334649892421,NA,-0.0329001809190025,0,20
"232",2,NA,0.00361147832364529,NA,0,20
"233",2,-0.0402229531321023,NA,-0.0432695499219166,0,20
"234",3,0.0073432694829697,NA,NA,0,20
"235",2,NA,-0.138632940066523,NA,0,20
"236",7,NA,-0.0796440968704225,NA,0,20
"237",1,0.00193609390849042,NA,0.00321555787358295,0,20
"238",2,-0.055558666148383,NA,-0.0558975614953677,0,20
"239",9,-0.0968174343469264,NA,-0.111340284274811,0,20
"240",2,NA,-0.0122543279304475,NA,0,20
"241",6,NA,-0.00213350229772979,NA,0,20
"242",9,NA,-0.0037549471997987,NA,0,20
"243",2,NA,0.162934479406656,NA,0,20
"244",3,NA,0.119512662031319,NA,0,20
"245",4,NA,0.0891150081428791,NA,0,20
"246",5,NA,0.143371950052779,NA,0,20
"247",7,NA,0.1491361253577,NA,0,20
"248",10,NA,0.0510130443849767,NA,0,20
"249",4,0.0363471224484092,NA,0.0317764624223968,0,20
"250",3,-0.0737177281429137,NA,-0.0592687102311709,0,20
"251",4,-0.00224547234650364,NA,-0.00201331574683983,0,20
"252",2,NA,-0.00127013110250551,NA,0,20
"253",4,-0.0109695328905656,NA,-0.00975388378563734,0,20
"254",9,NA,-0.0159795341744094,NA,0,20
"255",10,0.0865575904305389,NA,0.0867778334787006,0,20
"256",4,-0.00175138160982147,NA,-0.0162584304308186,0,20
"257",2,-0.0133340519569792,NA,-0.0273885291168243,0,20
"258",6,0.0228620442478052,NA,0.0237998643827602,0,20
"259",2,NA,0.218861826035941,NA,0,20
"260",3,NA,0.191069031346746,NA,0,20
"261",5,NA,0.121267886859287,NA,0,20
"262",6,NA,0.0609942805084164,NA,0,20
"263",7,NA,0.169570643611387,NA,0,20
"264",9,NA,0.206808448923077,NA,0,20
"265",9,0.184022057340744,NA,0.180881906519159,0,20
