"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"264","sp13","sp29",9,NA,0.206808448923077,NA,0,20
"265","sp13","sp36",9,0.184022057340744,NA,0.180881906519159,0,20
"266","sp14","sp21",3,-0.00292155977037846,NA,-0.00113519682472373,0,20
"267","sp14","sp21",10,-0.0808838028030138,NA,-0.0535193314563834,0,20
"268","sp14","sp25",3,-0.00468236987008418,NA,-0.00439064363352855,0,20
"269","sp14","sp31",3,-0.0703624022049585,NA,-0.055139971561024,0,20
"270","sp14","sp45",10,NA,-0.0495707859476389,NA,0,20
"271","sp14","sp50",1,0.0283439974377202,NA,0.0351296910082825,0,20
"272","sp15","sp21",3,-0.00878949016989676,NA,-0.000201997203095985,0,20
"273","sp15","sp31",2,NA,-0.0860532184435076,NA,0,20
"274","sp15","sp31",3,-0.000364953726390794,NA,NA,0,20
"275","sp15","sp31",4,NA,-0.134893091180582,NA,0,20
"276","sp15","sp31",6,NA,-0.102039425747895,NA,0,20
"277","sp15","sp31",7,NA,-0.125421003251977,NA,0,20
"278","sp15","sp34",1,0.00069644610636253,NA,0.00239268148560937,0,20
"279","sp15","sp34",3,-0.0185428529075755,NA,-0.0223236857028106,0,20
"280","sp15","sp45",3,NA,-0.00555605950356985,NA,0,20
"281","sp15","sp45",6,NA,-0.000532061188836735,NA,0,20
"282","sp15","sp47",4,NA,0.00419833709519125,NA,0,20
"283","sp17","sp18",1,-0.0427222798210815,NA,-0.0334543290530456,0,20
"284","sp17","sp19",2,NA,-0.154450806410151,NA,0,20
"285","sp17","sp19",3,NA,-0.0392686053570824,NA,0,20
"286","sp17","sp19",4,NA,-0.210180676623189,NA,0,20
"287","sp17","sp19",5,NA,-0.172689429226071,NA,0,20
"288","sp17","sp19",6,NA,-0.0609867993404167,NA,0,20
"289","sp17","sp19",7,NA,-0.126776758893046,NA,0,20
"290","sp17","sp19",8,NA,-0.120926127709518,NA,0,20
"291","sp17","sp19",9,NA,-0.122879098585934,NA,0,20
"292","sp17","sp19",10,NA,-0.0435688853686398,NA,0,20
"293","sp17","sp23",7,NA,-0.123472845539755,NA,0,20
"294","sp17","sp32",3,NA,0.0113536236634797,NA,0,20
"295","sp17","sp32",4,NA,0.0266888990881754,NA,0,20
"296","sp17","sp32",5,NA,0.14117020917653,NA,0,20
"297","sp17","sp32",6,NA,0.122406680763808,NA,0,20
"298","sp17","sp32",8,NA,0.057768408517852,NA,0,20
"299","sp17","sp32",10,NA,0.103196110499425,NA,0,20
"300","sp17","sp33",3,-0.0875752074646198,NA,-0.0861888804118695,0,20
"301","sp17","sp36",1,NA,-0.00143727008390178,NA,0,20
"302","sp17","sp39",4,-0.0987360882261998,NA,-0.101254904676189,0,20
"303","sp17","sp47",1,0.0255710825051337,NA,0.03857850321782,0,20
"304","sp18","sp20",7,NA,-0.0116020445435481,NA,0,20
"305","sp18","sp29",4,0.0794888489115346,NA,0.0780195618397374,0,20
"306","sp18","sp34",6,-0.203514216838443,NA,-0.204141977864571,0,20
"307","sp18","sp47",1,-0.00068228757268189,NA,-0.000808882064316536,0,20
"308","sp19","sp21",1,NA,NA,-0.0116631558322046,0,20
"309","sp19","sp22",5,-0.0389659740605823,NA,-0.0381871875618823,0,20
"310","sp19","sp23",7,NA,0.00987634298555668,NA,0,20
"311","sp19","sp27",3,0.132635187686431,NA,0.1255254844418,0,20
"312","sp19","sp32",3,NA,-0.000279187023748309,NA,0,20
"313","sp19","sp32",4,NA,-0.0125420919874082,NA,0,20
"314","sp19","sp32",5,NA,-0.015277626090362,NA,0,20
"315","sp19","sp32",6,NA,-0.00466030294260678,NA,0,20
"316","sp19","sp32",8,NA,-0.00438088566028012,NA,0,20
"317","sp19","sp32",10,NA,-0.00283338617303426,NA,0,20
"318","sp19","sp35",2,0.0283820800088548,NA,0.0304577115762203,0,20
"319","sp19","sp35",8,0.0364265872387559,NA,0.0594023984800844,0,20
"320","sp19","sp36",4,0.0937857162832306,NA,0.0927376213309871,0,20
"321","sp19","sp36",7,-0.0415678648639534,NA,-0.0558563005685054,0,20
"322","sp19","sp39",7,NA,NA,-0.0133322779970003,0,20
"323","sp19","sp47",3,0.0104416020382587,NA,NA,0,20
"324","sp19","sp50",4,0.00360662243751392,NA,0.0039057485215835,0,20
"325","sp20","sp21",3,0.00707677321399022,NA,NA,0,20
"326","sp20","sp23",2,NA,0.0840844770121498,NA,0,20
"327","sp20","sp23",8,NA,0.00819751386353285,NA,0,20
"328","sp20","sp27",2,NA,0.0685814616803485,NA,0,20
"329","sp20","sp27",6,NA,0.111674585920119,NA,0,20
"330","sp20","sp27",10,NA,0.0646854403620807,NA,0,20
"331","sp20","sp31",3,0.000293838971925105,NA,NA,0,20
"332","sp20","sp37",2,NA,-0.00133844420156097,NA,0,20
"333","sp21","sp25",3,0.00434586525434947,NA,0.00258504683267092,0,20
"334","sp21","sp28",5,-0.019461876343793,NA,NA,0,20
"335","sp21","sp31",3,0.0653057164297861,NA,0.032464353915883,0,20
"336","sp22","sp23",6,0.0603050967106795,NA,0.0542280840228986,0,20
"337","sp22","sp24",8,-0.00290001126767236,NA,-0.0369336568653171,0,20
"338","sp22","sp26",8,-0.00311132218733612,NA,NA,0,20
"339","sp23","sp27",2,NA,0.00366833187870924,NA,0,20
"340","sp23","sp28",10,-0.0517253113930682,NA,-0.0347768678138038,0,20
"341","sp25","sp30",7,-0.0419417594185608,NA,-0.0379658833869567,0,20
"342","sp25","sp31",3,0.104665159362966,NA,0.125563607766502,0,20
"343","sp25","sp48",7,NA,-0.00573777084570681,NA,0,20
"344","sp26","sp28",4,0.0314153036812775,-0.00345988007928889,NA,1,20
"345","sp26","sp29",10,-0.00331424988382334,NA,NA,0,20
"346","sp27","sp31",3,-0.00178656436413809,NA,NA,0,20
"347","sp27","sp32",8,NA,-0.000287812038949739,NA,0,20
"348","sp27","sp37",2,NA,-0.0306794435214526,NA,0,20
"349","sp27","sp37",6,0.195536491196516,NA,0.206400603150209,0,20
"350","sp27","sp37",8,NA,-0.098055851192969,NA,0,20
"351","sp27","sp39",7,0.00882352178304346,NA,0.0131624145739229,0,20
"352","sp27","sp47",2,NA,0.000799219472704035,NA,0,20
"353","sp27","sp47",3,0.000880539438990269,NA,NA,0,20
"354","sp28","sp30",3,NA,0.0953390322502137,NA,0,20
"355","sp28","sp30",4,NA,0.0600566160266332,NA,0,20
"356","sp28","sp39",2,0.00619597210530243,NA,NA,0,20
"357","sp28","sp43",1,0.107673822778594,NA,0.0633236306530637,0,20
"358","sp28","sp46",3,-0.000243871596884371,NA,NA,0,20
"359","sp29","sp33",5,-0.0421574493413518,NA,-0.0570922505999701,0,20
"360","sp29","sp34",1,0.0429469331385598,NA,0.0254276360028108,0,20
"361","sp29","sp39",10,NA,NA,0.0223142057156895,0,20
"362","sp30","sp38",1,NA,-0.0502757453556404,NA,0,20
"363","sp31","sp35",3,NA,0.0346162211995571,NA,0,20
"364","sp31","sp37",4,NA,0.000741281904226083,NA,0,20
"365","sp31","sp37",9,NA,0.00235113953122178,NA,0,20
"366","sp31","sp43",9,-0.164345603958989,NA,-0.159935046213196,0,20
"367","sp31","sp44",3,NA,-0.00362988310857788,NA,0,20
"368","sp31","sp45",6,NA,0.00835257509673727,NA,0,20
"369","sp31","sp45",7,NA,0.00217156468553059,NA,0,20
"370","sp31","sp47",4,NA,-0.0497606670572428,NA,0,20
"371","sp31","sp47",5,NA,-0.0283149600707009,NA,0,20
"372","sp31","sp47",9,NA,-0.0807424858560387,NA,0,20
"373","sp32","sp37",8,NA,0.00468041188081791,NA,0,20
"374","sp32","sp37",9,NA,0.012748348003719,NA,0,20
"375","sp32","sp47",9,NA,-0.000371219001128242,NA,0,20
"376","sp32","sp49",8,0.184978102264878,NA,0.199289307569968,0,20
"377","sp33","sp36",10,NA,NA,0.00929522374349296,0,20
"378","sp33","sp38",3,NA,0.00450338681003737,NA,0,20
"379","sp33","sp38",4,NA,0.0443681967561292,NA,0,20
"380","sp33","sp48",2,-0.0119779848785042,NA,NA,0,20
"381","sp33","sp48",3,NA,-0.0538129290622887,NA,0,20
"382","sp35","sp41",10,NA,0.00177079389949753,NA,0,20
"383","sp35","sp44",2,NA,-0.190898672416751,NA,0,20
"384","sp35","sp44",3,NA,-0.167454848078634,NA,0,20
"385","sp35","sp44",4,NA,-0.035638140599344,NA,0,20
"386","sp35","sp44",5,NA,-0.0192016999631518,NA,0,20
"387","sp35","sp44",7,NA,-0.0938538466060922,NA,0,20
"388","sp35","sp44",8,NA,-0.00896701051614401,NA,0,20
"389","sp35","sp44",9,NA,-0.0955710411686665,NA,0,20
"390","sp35","sp44",10,NA,-0.0624432584988705,NA,0,20
"391","sp35","sp48",4,0.00777922382649099,NA,0.0123497272818536,0,20
"392","sp36","sp39",7,NA,NA,0.000472543376860107,0,20
"393","sp36","sp48",5,NA,0.00614576848342918,NA,0,20
"394","sp36","sp48",9,NA,0.0336757894446481,NA,0,20
"395","sp36","sp50",4,0.0614613677491099,NA,0.0673066616467615,0,20
"396","sp36","sp50",8,NA,NA,0.00411206234748429,0,20
"397","sp36","sp50",9,NA,-0.0169942081418021,NA,0,20
"398","sp37","sp47",2,NA,-0.0409517554643239,NA,0,20
"399","sp37","sp47",4,NA,-0.0238174794519994,NA,0,20
"400","sp37","sp47",9,NA,-0.0462761511817346,NA,0,20
"401","sp37","sp47",10,NA,-0.0105586225638332,NA,0,20
"402","sp40","sp46",8,0.0479747865042419,NA,0.0644333677237576,0,20
"403","sp40","sp49",3,0.128965432809118,NA,0.150213003469092,0,20
"404","sp41","sp44",10,NA,-0.0450004096529134,NA,0,20
"405","sp42","sp48",8,-0.0101418084001265,NA,-0.0179433566830843,0,20
"406","sp45","sp49",6,NA,0.00222803289932849,NA,0,20
"407","sp45","sp49",9,NA,0.0437232303294641,NA,0,20
"408","sp45","sp49",10,NA,0.00307162023907048,NA,0,20
"409","sp48","sp50",9,NA,-0.000360112150308022,NA,0,20
"410","sp1","sp5",7,-0.00756405008024874,NA,-0.0129198878848129,0,50
"411","sp1","sp10",4,-0.0324436235792933,NA,-0.036795418150389,0,50
"412","sp1","sp34",6,NA,0.0235204404911764,NA,0,50
"413","sp1","sp34",9,-0.0998666915380322,NA,-0.0994764874081304,0,50
"414","sp1","sp40",6,NA,-0.0125184938033916,NA,0,50
"415","sp1","sp41",10,-0.0445352749544418,NA,-0.0510820007876164,0,50
"416","sp2","sp11",4,NA,0.062841383427771,NA,0,50
"417","sp2","sp11",7,NA,0.0247725496547171,NA,0,50
"418","sp2","sp18",3,0.0261374930703946,NA,0.0254340976478603,0,50
"419","sp2","sp21",4,NA,NA,-0.00711229763323445,0,50
"420","sp2","sp30",2,0.0288632892600278,NA,0.0465182975418929,0,50
"421","sp3","sp24",2,NA,0.0676815804867551,NA,0,50
"422","sp3","sp24",6,NA,0.0107161184498991,NA,0,50
"423","sp3","sp25",2,NA,0.00119253494306861,NA,0,50
"424","sp3","sp27",8,-0.0865158114743973,NA,-0.0859051906093562,0,50
"425","sp3","sp35",7,NA,-0.0522998919635346,NA,0,50
"426","sp3","sp42",2,NA,-0.0417247975773116,NA,0,50
"427","sp3","sp46",7,NA,0.00761515403310281,NA,0,50
"428","sp3","sp50",1,NA,-0.00673102246675694,NA,0,50
"429","sp4","sp7",1,-0.078559209506855,NA,-0.06625631238079,0,50
"430","sp4","sp21",3,NA,NA,-0.000352286879485202,0,50
"431","sp4","sp26",7,NA,0.038221624785437,NA,0,50
"432","sp4","sp30",8,NA,NA,0.0042766489382862,0,50
"433","sp4","sp33",3,-0.00129391447028281,NA,-0.00746836677484132,0,50
"434","sp4","sp36",1,NA,0.00983021191711817,NA,0,50
"435","sp4","sp37",10,0.0666169928553593,NA,0.0676062207621546,0,50
"436","sp5","sp21",10,0.0639803269874012,NA,0.0580388018250767,0,50
"437","sp5","sp28",4,NA,-0.00047173217957962,NA,0,50
"438","sp5","sp30",4,NA,-0.0225070227908826,NA,0,50
"439","sp5","sp36",1,NA,-0.00231918822595513,NA,0,50
"440","sp5","sp50",9,-0.11997385671913,NA,-0.119118961240898,0,50
"441","sp6","sp12",3,NA,0.00531252465424431,NA,0,50
"442","sp6","sp18",3,NA,-0.0281011272336182,NA,0,50
"443","sp6","sp18",6,NA,-0.0590961556787616,NA,0,50
"444","sp6","sp18",8,NA,-0.0309084175968388,NA,0,50
"445","sp6","sp18",9,NA,-0.00160036786556728,NA,0,50
"446","sp6","sp18",10,NA,-0.0690260578190592,NA,0,50
"447","sp6","sp23",5,NA,-0.000346216678960773,NA,0,50
"448","sp6","sp31",5,NA,0.000250715263997951,NA,0,50
"449","sp6","sp47",5,NA,-0.0155874434163257,NA,0,50
"450","sp6","sp50",3,NA,0.0912114636037903,NA,0,50
"451","sp6","sp50",4,NA,0.0738622066944487,NA,0,50
"452","sp6","sp50",6,NA,0.037120677613034,NA,0,50
"453","sp6","sp50",8,NA,0.0256011583841301,NA,0,50
"454","sp6","sp50",10,NA,0.00322758014568747,NA,0,50
"455","sp7","sp18",9,-0.0221027972905429,NA,-0.0198039942566364,0,50
"456","sp7","sp22",9,-0.000210264413841792,NA,NA,0,50
"457","sp7","sp29",9,0.0101358861785816,NA,NA,0,50
"458","sp7","sp35",3,0.0454620437085301,NA,0.0458687809699936,0,50
