"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"354",5,NA,NA,0.000854782068544239,0,20
"355",6,NA,NA,0.000814307546036162,0,20
"356",7,NA,NA,0.00288506151294199,0,20
"357",8,NA,NA,0.00053463056160682,0,20
"358",9,NA,NA,0.0171294928829496,0,20
"359",2,NA,NA,0.0178458304244946,0,20
"360",3,NA,NA,0.0194483655479879,0,20
"361",4,NA,NA,0.157922606835199,0,20
"362",5,NA,NA,0.0686539152398772,0,20
"363",6,NA,NA,0.0174739243441866,0,20
"364",7,NA,NA,0.00625188919782847,0,20
"365",8,NA,NA,0.00374616757813854,0,20
"366",9,NA,NA,0.00180984750857209,0,20
"367",10,NA,NA,0.0415285040967603,0,20
"368",4,NA,NA,0.00129117358776199,0,20
"369",9,NA,NA,0.000711508233226743,0,20
"370",2,NA,NA,0.175285744022727,0,20
"371",3,NA,NA,0.134334577013348,0,20
"372",4,NA,NA,0.261317128187734,0,20
"373",5,NA,NA,0.15779197011919,0,20
"374",6,NA,NA,0.146087357267681,0,20
"375",7,NA,NA,0.141849864674723,0,20
"376",8,NA,NA,0.155950196586538,0,20
"377",9,NA,NA,0.0272932005720486,0,20
"378",10,NA,NA,0.131679172908942,0,20
"379",1,NA,NA,-0.0310609520971195,0,20
"380",1,NA,NA,0.0612408074256678,0,20
"381",9,NA,NA,0.0245788644245954,0,20
"382",1,NA,NA,0.151721537638777,0,20
"383",4,NA,NA,0.0175433467442753,0,20
"384",5,NA,NA,0.000203083395930568,0,20
"385",7,NA,NA,0.000356694817553393,0,20
"386",8,NA,NA,0.0110806017666051,0,20
"387",9,NA,NA,0.000323741603345887,0,20
"388",10,NA,NA,0.000488220821480799,0,20
"389",1,NA,NA,0.0565445164848457,0,20
"390",4,NA,NA,0.00440921119613722,0,20
"391",6,NA,NA,0.0100307716965528,0,20
"392",7,NA,NA,0.00654588966430153,0,20
"393",8,NA,NA,0.000360411593364513,0,20
"394",9,NA,NA,0.000634289109074775,0,20
"395",10,NA,NA,0.00233556034599167,0,20
"396",1,NA,NA,0.000351269083233003,0,20
"397",2,NA,NA,0.0518123388229321,0,20
"398",6,NA,NA,0.0309022661839953,0,20
"399",1,NA,NA,0.00809647404191814,0,20
"400",1,NA,NA,0.0336073543126675,0,20
"401",3,NA,NA,0.0203155692919316,0,20
"402",4,NA,NA,0.144540666448806,0,20
"403",5,NA,NA,0.0605254478332853,0,20
"404",6,NA,NA,0.00129201150276394,0,20
"405",7,NA,NA,0.0456127508333284,0,20
"406",8,NA,NA,0.0545870570177039,0,20
"407",9,NA,NA,0.099591599702201,0,20
"408",10,NA,NA,0.00752433477935778,0,20
"409",4,NA,NA,0.000463790287377522,0,20
"410",6,NA,NA,0.00123718691361579,0,20
"411",7,NA,NA,0.000425493516725049,0,20
"412",3,NA,NA,0.00294119821336677,0,20
"413",4,NA,NA,0.179823699758945,0,20
"414",5,NA,NA,0.138113362957171,0,20
"415",6,NA,NA,0.0107484207119917,0,20
"416",7,NA,NA,0.0393388014390441,0,20
"417",8,NA,NA,0.105131024757483,0,20
"418",9,NA,NA,0.0237116848718592,0,20
"419",10,NA,NA,0.0544522059982823,0,20
"420",1,NA,NA,0.00776411861206825,0,20
"421",1,0.0705198190344059,NA,0.178393572171725,0,20
"422",3,NA,NA,0.11213674209991,0,20
"423",5,NA,NA,0.00995304173501355,0,20
"424",1,NA,NA,0.000402757696568092,0,20
"425",2,NA,0.00366833187870924,0.0472130825536548,2,20
"426",3,NA,NA,0.0503851347974866,0,20
"427",6,NA,NA,0.0113245826659162,0,20
"428",8,NA,NA,0.0369690074448985,0,20
"429",10,NA,NA,0.0139657923291362,0,20
"430",1,NA,NA,0.00131363299241824,0,20
"431",9,NA,NA,0.00152478664793231,0,20
"432",3,NA,NA,0.0027615646797602,0,20
"433",9,NA,NA,0.000363035241935072,0,20
"434",4,-0.000213281850296753,NA,NA,0,20
"435",4,0.0169963598476315,NA,NA,0,20
"436",1,NA,NA,0.0237306604270752,0,20
"437",2,NA,NA,0.016424437770504,0,20
"438",3,NA,NA,0.000301371169681074,0,20
"439",4,NA,NA,0.100194744428943,0,20
"440",5,NA,NA,0.064056084504629,0,20
"441",7,NA,NA,0.0786182108463829,0,20
"442",8,NA,NA,0.0522798780383345,0,20
"443",9,NA,NA,0.0837880958919179,0,20
"444",1,NA,NA,0.00150245866109093,0,20
"445",1,NA,NA,0.0769993428424901,0,20
"446",1,NA,NA,0.0346222998982506,0,20
"447",3,NA,NA,0.00900574346074606,0,20
"448",4,NA,NA,0.03348313713113,0,20
"449",5,NA,NA,0.000916136790627904,0,20
"450",8,NA,NA,0.00406942345453406,0,20
"451",9,NA,NA,0.00145344652615238,0,20
"452",10,NA,NA,0.00171317815905511,0,20
"453",2,NA,NA,0.00128341624254821,0,20
"454",4,NA,NA,0.010539152525315,0,20
"455",5,NA,NA,0.00252952661267855,0,20
"456",7,NA,NA,0.00511031207783552,0,20
"457",8,NA,NA,0.0069333584077779,0,20
"458",9,NA,NA,0.00348030852290041,0,20
"459",3,NA,NA,0.0622048539505792,0,20
"460",4,NA,NA,0.147584498598855,0,20
"461",5,NA,NA,0.00210561959352227,0,20
"462",7,NA,NA,0.00314362412253507,0,20
"463",8,0.0256709009757814,NA,0.169407100585637,0,20
"464",9,NA,NA,0.0219185358849045,0,20
"465",10,NA,NA,0.0143182462070301,0,20
"466",10,0.0549206654138778,NA,0.0672402163449056,0,20
"467",10,NA,NA,0.00102818496653855,0,20
"468",1,NA,NA,0.00116047849295149,0,20
"469",1,NA,NA,0.00153837485081652,0,20
"470",3,NA,NA,0.00112835540573365,0,20
"471",4,NA,NA,0.00736449783155791,0,20
"472",6,NA,NA,0.00211564655162484,0,20
"473",7,NA,NA,0.00160199974945101,0,20
"474",9,NA,NA,0.00284765780064603,0,20
"475",10,NA,NA,0.000402143611779634,0,20
"476",2,NA,NA,0.12538936368207,0,20
"477",4,NA,NA,0.167724153290471,0,20
"478",5,NA,NA,0.0634197195286479,0,20
"479",6,NA,NA,0.198910507552904,0,20
"480",7,NA,NA,0.104822184804476,0,20
"481",8,NA,NA,0.213161243754849,0,20
"482",9,NA,NA,0.0666823452904883,0,20
"483",10,NA,NA,0.0223395322560041,0,20
"484",3,NA,NA,0.00779382441038302,0,20
"485",4,NA,NA,0.038609984096238,0,20
"486",6,NA,NA,0.00903799994454295,0,20
"487",7,NA,NA,0.0327985838481702,0,20
"488",8,NA,NA,0.0055101955895258,0,20
"489",9,NA,NA,0.0429437812555224,0,20
"490",10,NA,NA,0.00195523893498187,0,20
"491",7,-0.0042205206364766,-0.00573777084570681,NA,1,20
"492",1,NA,NA,0.0271426457729409,0,20
"493",3,NA,NA,0.00351218327894541,0,20
"494",1,NA,NA,0.0112104916690881,0,20
"495",4,-0.0150903057541162,-0.00345988007928889,NA,1,20
"496",3,NA,NA,0.0396168985473547,0,20
"497",10,NA,NA,0.0734998041125606,0,20
"498",4,-0.000201977706740447,NA,NA,0,20
"499",6,NA,NA,0.000204851184068763,0,20
"500",1,NA,NA,0.0476323002338813,0,20
"501",1,NA,NA,0.0002201702577032,0,20
"502",8,NA,-0.000287812038949739,NA,0,20
"503",2,NA,-0.0306794435214526,NA,0,20
"504",8,NA,-0.098055851192969,NA,0,20
"505",2,NA,0.000799219472704035,NA,0,20
"506",1,NA,NA,0.00746676761609322,0,20
"507",4,NA,NA,0.000774647077164657,0,20
"508",6,NA,NA,0.00868712425125058,0,20
"509",2,NA,NA,0.163370577671176,0,20
"510",3,0.0514475620785382,0.0953390322502137,0.232899461790903,3,20
"511",4,0.0213860053038587,0.0600566160266332,0.286579602788428,3,20
"512",5,NA,NA,0.143685925635003,0,20
"513",6,NA,NA,0.193943096838862,0,20
"514",7,NA,NA,0.0710740866857118,0,20
"515",8,NA,NA,0.0386100562919412,0,20
"516",9,NA,NA,0.106454238968942,0,20
"517",10,NA,NA,0.191074050760301,0,20
"518",4,NA,NA,0.00406125604401157,0,20
"519",6,NA,NA,0.00211673753744612,0,20
"520",7,NA,NA,0.0021319615057472,0,20
"521",8,NA,NA,0.000730762242618967,0,20
