"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"173","sp38","sp39",4,0.0317393193749905,0.0284499049545361,0.0261710223809143,3,0.01
"174","sp38","sp39",9,NA,NA,0.0071697073433854,0,0.01
"175","sp39","sp49",1,0.042398008569144,0.0113261823646,0.017856543241838,3,0.01
"176","sp40","sp43",4,-0.00557353120342163,NA,-0.00238929247062908,0,0.01
"177","sp41","sp49",7,NA,NA,0.0349013268438507,0,0.01
"178","sp44","sp45",6,NA,-0.00109703986500731,-0.000341121453232941,2,0.01
"179","sp44","sp46",2,0.0407733318661573,0.0279077344155351,0.0249554533441326,3,0.01
"180","sp44","sp47",6,NA,0.00054233510319721,NA,0,0.01
"181","sp45","sp47",6,NA,-0.000365008609025573,NA,0,0.01
"182","sp46","sp47",1,0.0288292888672889,NA,NA,0,0.01
"183","sp1","sp19",6,NA,-0.000643836398329579,NA,0,0.1
"184","sp1","sp22",7,-0.00724984920999411,NA,NA,0,0.1
"185","sp1","sp34",6,0.0236248226942653,0.0370895149514254,0.0305630355052513,3,0.1
"186","sp1","sp40",6,-0.0147968762750032,-0.0256395180185498,-0.0218591359127842,3,0.1
"187","sp2","sp11",4,0.0645927514429522,0.0675315428222813,0.0573767227247962,3,0.1
"188","sp2","sp11",7,0.0298352292935533,0.00859464291440409,0.0230303795363422,3,0.1
"189","sp2","sp43",1,NA,NA,-0.000533208595443924,0,0.1
"190","sp3","sp24",2,0.079905085946443,0.0609413877709756,0.0813243740958913,3,0.1
"191","sp3","sp24",6,0.0295053552416385,0.000942834000622071,0.0262336082283045,3,0.1
"192","sp3","sp24",10,0.0349993305363419,0.0257080684589641,0.0360982787784404,3,0.1
"193","sp3","sp35",7,-0.0503648411920609,-0.0514766007007585,-0.0551275000513061,3,0.1
"194","sp3","sp42",2,-0.0359906658067964,-0.0465067783938056,-0.0350429123359703,3,0.1
"195","sp3","sp46",7,NA,NA,0.0107861264302992,0,0.1
"196","sp3","sp49",5,NA,-0.0018281640716179,NA,0,0.1
"197","sp3","sp50",1,NA,NA,-0.00815421599218447,0,0.1
"198","sp4","sp26",7,0.0836957857096999,0.0824878413437733,0.100917697425362,3,0.1
"199","sp4","sp26",9,NA,0.0076984326366637,NA,0,0.1
"200","sp4","sp36",1,0.00078596542553877,NA,0.00671654531757597,0,0.1
"201","sp5","sp28",2,NA,-0.000238323536903378,NA,0,0.1
"202","sp5","sp30",2,-0.0152285805791142,-0.00869165792218014,-0.00903103150449097,3,0.1
"203","sp5","sp30",4,-0.0303328026229763,-0.019102767064433,-0.0225965679962781,3,0.1
"204","sp5","sp36",1,NA,NA,-0.0071727108494518,0,0.1
"205","sp6","sp12",3,NA,0.0498177546660803,0.0059534797624749,2,0.1
"206","sp6","sp15",7,-0.00112321570818568,NA,NA,0,0.1
"207","sp6","sp18",3,-0.0247306680085379,-0.0248094701247613,-0.0276741359090478,3,0.1
"208","sp6","sp18",6,-0.0440151486132697,-0.0667343804783059,-0.0616710667095609,3,0.1
"209","sp6","sp18",8,-0.0386404781433074,-0.0228980227139702,-0.0354874556995987,3,0.1
"210","sp6","sp18",9,NA,-0.00534717566616388,NA,0,0.1
"211","sp6","sp18",10,-0.0735223261297739,-0.0474889773676084,-0.0719262938192348,3,0.1
"212","sp6","sp31",5,0.000227928379644761,NA,NA,0,0.1
"213","sp6","sp33",6,NA,-0.00157527753859357,NA,0,0.1
"214","sp6","sp36",8,NA,-0.00798934507872462,NA,0,0.1
"215","sp6","sp47",5,-0.0202517636450758,-0.00325688129365097,-0.0122205243409632,3,0.1
"216","sp6","sp47",7,-0.0166375743370258,NA,NA,0,0.1
"217","sp6","sp50",3,0.100212966142787,0.0800888389116674,0.0997334159440374,3,0.1
"218","sp6","sp50",4,0.0680819670053677,0.0488249944674926,0.0660927235259902,3,0.1
"219","sp6","sp50",6,0.0364369864753472,0.0512765884437352,0.0437034459691353,3,0.1
"220","sp6","sp50",8,0.0304346988229863,0.00807951976912632,0.0218086768026528,3,0.1
"221","sp6","sp50",10,0.0103884572754512,0.00672970748369572,0.0110264347832653,3,0.1
"222","sp8","sp13",3,-0.0240009165519707,-0.0321792375414714,-0.0265237859410584,3,0.1
"223","sp8","sp47",2,-0.0263354388412289,-0.049175040952692,-0.029178906588145,3,0.1
"224","sp8","sp47",10,-0.00584457089573232,-0.0173402474449444,-0.00490653288241388,3,0.1
"225","sp9","sp41",1,-0.0199396400389928,-0.00760605500676653,-0.0231342985022873,3,0.1
"226","sp10","sp11",3,NA,-0.00191764734336153,-0.00595302621944686,2,0.1
"227","sp10","sp11",9,-0.0569856882200587,-0.0707037523705647,-0.0628328405094907,3,0.1
"228","sp10","sp31",1,-0.00827942064913412,-0.013349343481223,-0.0345324989804813,3,0.1
"229","sp11","sp19",3,NA,NA,-0.0019695832490329,0,0.1
"230","sp12","sp18",3,NA,-0.000886754199396387,NA,0,0.1
"231","sp12","sp20",1,NA,0.00379172228451585,NA,0,0.1
"232","sp12","sp50",3,NA,0.00286258085612319,0.000427060092735337,2,0.1
"233","sp13","sp15",4,0.105721434941512,0.117230573679769,0.10539897516007,3,0.1
"234","sp13","sp15",5,0.0086164175398165,0.0367230607644284,0.00688255689537935,3,0.1
"235","sp13","sp15",7,NA,NA,0.011357339226647,0,0.1
"236","sp13","sp15",10,0.0916257985736653,0.0924115110323694,0.0913546804220357,3,0.1
"237","sp13","sp29",2,0.096174733929043,0.0392086660348167,0.102716530167773,3,0.1
"238","sp13","sp29",3,NA,0.00502642041813794,NA,0,0.1
"239","sp13","sp29",5,0.0299355721935904,0.0372367688907166,0.0298104636609299,3,0.1
