"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"202",2,-0.0152285805791142,-0.00869165792218014,-0.00903103150449097,3,0.1
"203",4,-0.0303328026229763,-0.019102767064433,-0.0225965679962781,3,0.1
"204",1,NA,NA,-0.0071727108494518,0,0.1
"205",3,NA,0.0498177546660803,0.0059534797624749,2,0.1
"206",7,-0.00112321570818568,NA,NA,0,0.1
"207",3,-0.0247306680085379,-0.0248094701247613,-0.0276741359090478,3,0.1
"208",6,-0.0440151486132697,-0.0667343804783059,-0.0616710667095609,3,0.1
"209",8,-0.0386404781433074,-0.0228980227139702,-0.0354874556995987,3,0.1
"210",9,NA,-0.00534717566616388,NA,0,0.1
"211",10,-0.0735223261297739,-0.0474889773676084,-0.0719262938192348,3,0.1
"212",5,0.000227928379644761,NA,NA,0,0.1
"213",6,NA,-0.00157527753859357,NA,0,0.1
"214",8,NA,-0.00798934507872462,NA,0,0.1
"215",5,-0.0202517636450758,-0.00325688129365097,-0.0122205243409632,3,0.1
"216",7,-0.0166375743370258,NA,NA,0,0.1
"217",3,0.100212966142787,0.0800888389116674,0.0997334159440374,3,0.1
"218",4,0.0680819670053677,0.0488249944674926,0.0660927235259902,3,0.1
"219",6,0.0364369864753472,0.0512765884437352,0.0437034459691353,3,0.1
"220",8,0.0304346988229863,0.00807951976912632,0.0218086768026528,3,0.1
"221",10,0.0103884572754512,0.00672970748369572,0.0110264347832653,3,0.1
"222",3,-0.0240009165519707,-0.0321792375414714,-0.0265237859410584,3,0.1
"223",2,-0.0263354388412289,-0.049175040952692,-0.029178906588145,3,0.1
"224",10,-0.00584457089573232,-0.0173402474449444,-0.00490653288241388,3,0.1
"225",1,-0.0199396400389928,-0.00760605500676653,-0.0231342985022873,3,0.1
"226",3,NA,-0.00191764734336153,-0.00595302621944686,2,0.1
"227",9,-0.0569856882200587,-0.0707037523705647,-0.0628328405094907,3,0.1
"228",1,-0.00827942064913412,-0.013349343481223,-0.0345324989804813,3,0.1
"229",3,NA,NA,-0.0019695832490329,0,0.1
"230",3,NA,-0.000886754199396387,NA,0,0.1
"231",1,NA,0.00379172228451585,NA,0,0.1
"232",3,NA,0.00286258085612319,0.000427060092735337,2,0.1
"233",4,0.105721434941512,0.117230573679769,0.10539897516007,3,0.1
"234",5,0.0086164175398165,0.0367230607644284,0.00688255689537935,3,0.1
"235",7,NA,NA,0.011357339226647,0,0.1
"236",10,0.0916257985736653,0.0924115110323694,0.0913546804220357,3,0.1
