"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"362",1,0.0291701833423761,NA,NA,0,0.1
"363",6,NA,-0.000643836398329579,-0.000207230668870005,2,1
"364",7,-0.00724984920999411,NA,NA,0,1
"365",6,0.0236248226942653,0.0370895149514254,0.0256330039772836,3,1
"366",6,-0.0147968762750032,-0.0256395180185498,-0.016110227268147,3,1
"367",4,0.0645927514429522,0.0675315428222813,0.0696710039294775,3,1
"368",7,0.0298352292935533,0.00859464291440409,0.0238961156508765,3,1
"369",1,NA,NA,-0.000894350200504823,0,1
"370",2,0.079905085946443,0.0609413877709756,0.0777620335564496,3,1
"371",6,0.0295053552416385,0.000942834000622071,NA,1,1
"372",10,0.0349993305363419,0.0257080684589641,0.0282594382770369,3,1
"373",2,NA,NA,0.000891872751677804,0,1
"374",7,-0.0503648411920609,-0.0514766007007585,-0.0440411152301814,3,1
"375",2,-0.0359906658067964,-0.0465067783938056,-0.0307368694783042,3,1
"376",7,NA,NA,0.0109913876740871,0,1
"377",5,NA,-0.0018281640716179,NA,0,1
"378",1,NA,NA,-0.0152741137563465,0,1
"379",7,0.0836957857096999,0.0824878413437733,0.0713655312116692,3,1
"380",9,NA,0.0076984326366637,NA,0,1
"381",1,0.00078596542553877,NA,0.00759925451183718,0,1
"382",2,NA,-0.000238323536903378,-0.000254091502212413,2,1
"383",4,NA,NA,-0.000275103076222069,0,1
"384",2,-0.0152285805791142,-0.00869165792218014,-0.0182449754521104,3,1
"385",4,-0.0303328026229763,-0.019102767064433,-0.020748311888931,3,1
"386",1,NA,NA,-0.0061971232609975,0,1
"387",3,NA,0.0498177546660803,0.00311839436205963,2,1
"388",7,-0.00112321570818568,NA,NA,0,1
"389",3,-0.0247306680085379,-0.0248094701247613,-0.0324409300554749,3,1
"390",4,NA,NA,-0.00535079149922557,0,1
"391",6,-0.0440151486132697,-0.0667343804783059,-0.0583593722311587,3,1
"392",8,-0.0386404781433074,-0.0228980227139702,-0.0391620199882281,3,1
"393",9,NA,-0.00534717566616388,NA,0,1
"394",10,-0.0735223261297739,-0.0474889773676084,-0.0729480555312519,3,1
"395",5,0.000227928379644761,NA,NA,0,1
"396",6,NA,-0.00157527753859357,NA,0,1
"397",8,NA,-0.00798934507872462,NA,0,1
"398",5,-0.0202517636450758,-0.00325688129365097,-0.011386510178655,3,1
"399",7,-0.0166375743370258,NA,NA,0,1
"400",3,0.100212966142787,0.0800888389116674,0.099668695668576,3,1
"401",4,0.0680819670053677,0.0488249944674926,0.0708776995987324,3,1
"402",6,0.0364369864753472,0.0512765884437352,0.0384387506024804,3,1
"403",8,0.0304346988229863,0.00807951976912632,0.0186362471282358,3,1
"404",10,0.0103884572754512,0.00672970748369572,0.0064040479056034,3,1
"405",4,NA,NA,-0.00603306471954174,0,1
"406",3,-0.0240009165519707,-0.0321792375414714,-0.0195641065276183,3,1
"407",4,NA,NA,-0.021953256186637,0,1
"408",2,-0.0263354388412289,-0.049175040952692,-0.0247049293992011,3,1
"409",10,-0.00584457089573232,-0.0173402474449444,NA,1,1
"410",1,-0.0199396400389928,-0.00760605500676653,-0.0255667268387672,3,1
"411",3,NA,-0.00191764734336153,-0.0049474532117977,2,1
