"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"220",9,NA,NA,0.109535160391909,0,0.1
"221",10,NA,NA,0.0382557692905359,0,0.1
"222",1,NA,NA,0.00847780029124446,0,0.1
"223",2,NA,NA,0.146219778150097,0,0.1
"224",3,NA,NA,0.100944452900245,0,0.1
"225",4,NA,NA,0.0607181056484613,0,0.1
"226",5,NA,NA,0.115480669234082,0,0.1
"227",6,NA,NA,0.100378665725372,0,0.1
"228",7,NA,NA,0.0975256281840025,0,0.1
"229",8,NA,NA,0.102742319588652,0,0.1
"230",9,NA,NA,0.0779783983130697,0,0.1
"231",10,NA,NA,0.157840741613663,0,0.1
"232",1,NA,NA,0.011811567596908,0,0.1
"233",2,NA,NA,0.0201501419885397,0,0.1
"234",3,NA,NA,0.0278749624705624,0,0.1
"235",4,NA,NA,0.00363455960265241,0,0.1
"236",5,NA,NA,0.0206179488972222,0,0.1
"237",6,NA,NA,0.0203528180076028,0,0.1
"238",7,NA,NA,0.0137969199433451,0,0.1
"239",8,NA,NA,0.00929610510270587,0,0.1
"240",9,NA,NA,0.00576390443076907,0,0.1
"241",10,NA,NA,0.00881661954215154,0,0.1
"242",1,NA,NA,0.0121078428175954,0,0.1
"243",2,NA,NA,0.202946413204882,0,0.1
"244",3,NA,NA,0.154163459963419,0,0.1
"245",4,NA,NA,0.0801179707206786,0,0.1
"246",5,NA,NA,0.118354274250101,0,0.1
"247",6,NA,NA,0.12442309460137,0,0.1
"248",7,NA,NA,0.105413276540043,0,0.1
"249",8,NA,NA,0.0714507085069034,0,0.1
"250",9,NA,NA,0.0819489446303551,0,0.1
"251",10,NA,NA,0.0883250478118894,0,0.1
"252",3,NA,NA,-0.00373099197049595,0,0.1
"253",2,NA,NA,-0.00160743500286509,0,0.1
"254",1,-0.0499024676921181,-0.0289282788255124,-0.0566067898511844,3,0.1
"255",5,NA,NA,-0.000970313245045653,0,0.1
"256",5,NA,NA,-0.00057934221042735,0,0.1
"257",1,NA,NA,-0.00438580614327425,0,0.1
"258",1,NA,NA,-0.000248938030787432,0,0.1
"259",1,NA,NA,0.13629779423866,0,0.1
"260",2,NA,NA,0.142754088558711,0,0.1
"261",3,NA,NA,0.151061882085029,0,0.1
"262",4,NA,NA,0.0206531370493403,0,0.1
"263",5,NA,NA,0.0903249217944627,0,0.1
"264",6,NA,NA,0.0310285496591387,0,0.1
"265",7,NA,NA,0.0732432217445985,0,0.1
"266",8,NA,NA,0.0668813137483777,0,0.1
"267",9,NA,NA,0.0272907015440865,0,0.1
"268",10,NA,NA,0.134467145623057,0,0.1
"269",1,NA,NA,0.150586820854824,0,0.1
"270",2,NA,NA,0.125726758645723,0,0.1
"271",3,NA,NA,0.151385988584411,0,0.1
"272",4,NA,NA,0.122013256605122,0,0.1
"273",5,NA,NA,0.107791720626743,0,0.1
"274",6,NA,NA,0.105552135885415,0,0.1
"275",7,NA,NA,0.145071269328909,0,0.1
"276",8,NA,NA,0.16169858793471,0,0.1
"277",9,NA,NA,0.0907122984362649,0,0.1
"278",10,NA,NA,0.0971837271586944,0,0.1
"279",1,NA,NA,0.179787970521154,0,0.1
"280",2,NA,NA,0.0948336511202795,0,0.1
"281",3,NA,NA,0.0843181561295732,0,0.1
"282",4,NA,NA,0.0323204471335559,0,0.1
"283",5,NA,NA,0.0243168615468087,0,0.1
"284",6,NA,NA,0.11091899789471,0,0.1
"285",7,NA,NA,0.0792942753997464,0,0.1
"286",8,NA,NA,0.0422338263050114,0,0.1
"287",9,NA,NA,0.0172426519236548,0,0.1
"288",10,NA,NA,0.0432964081975689,0,0.1
"289",1,NA,NA,0.0137798797751478,0,0.1
"290",2,NA,NA,0.127353947264533,0,0.1
"291",3,NA,NA,0.0510692668685997,0,0.1
"292",4,NA,NA,0.0193183929899923,0,0.1
"293",5,NA,NA,0.0314275166946653,0,0.1
"294",6,NA,NA,0.044445287713817,0,0.1
"295",7,NA,NA,0.0314936510061307,0,0.1
"296",8,NA,NA,0.0767184527027239,0,0.1
"297",9,NA,NA,0.00390517512372191,0,0.1
"298",10,NA,NA,0.0306802892053369,0,0.1
"299",1,NA,NA,0.102157291834983,0,0.1
"300",2,NA,NA,0.0342259724648933,0,0.1
"301",3,NA,NA,0.0640145405519092,0,0.1
"302",4,NA,NA,0.0627876035004335,0,0.1
"303",5,NA,NA,0.0193887017208475,0,0.1
"304",6,NA,NA,0.0826033390024822,0,0.1
"305",7,NA,NA,0.116459238864222,0,0.1
"306",8,NA,NA,0.104652828910048,0,0.1
"307",9,NA,NA,0.0119622998053182,0,0.1
"308",10,NA,NA,0.168685704862059,0,0.1
"309",1,NA,NA,0.0132021090231749,0,0.1
"310",2,NA,NA,0.110613388341541,0,0.1
"311",3,NA,NA,0.118286638686696,0,0.1
"312",4,NA,NA,0.202011412140432,0,0.1
"313",5,NA,NA,0.0961701195305272,0,0.1
"314",6,NA,NA,0.141506111142735,0,0.1
"315",7,NA,NA,0.143355709423809,0,0.1
"316",8,NA,NA,0.111582447625893,0,0.1
"317",9,NA,NA,0.133520593148145,0,0.1
"318",10,NA,NA,0.0573875973132107,0,0.1
"319",1,NA,NA,0.021544339441713,0,0.1
"320",2,NA,NA,0.0210735139720799,0,0.1
"321",3,NA,NA,0.0581768734501309,0,0.1
"322",4,NA,NA,0.0055647230045094,0,0.1
"323",5,NA,NA,0.0417527182455116,0,0.1
"324",6,NA,NA,0.0143953381500498,0,0.1
"325",7,NA,NA,0.00614889497575371,0,0.1
"326",8,NA,NA,0.00636302434895798,0,0.1
"327",9,NA,NA,0.00402344476161447,0,0.1
"328",10,NA,NA,0.00815251090325387,0,0.1
"329",1,NA,NA,0.020424197310987,0,0.1
"330",2,NA,NA,0.08776621253541,0,0.1
"331",3,NA,NA,0.0464314170091516,0,0.1
"332",4,NA,NA,0.148696882010207,0,0.1
"333",5,NA,NA,0.038136909571613,0,0.1
