"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"187","sp21","sp24",6,NA,NA,0.023172914181322,0,0.1
"188","sp21","sp24",7,NA,NA,0.0339694022014214,0,0.1
"189","sp21","sp24",8,NA,NA,0.0671490759330497,0,0.1
"190","sp21","sp24",9,NA,NA,0.0223626550952483,0,0.1
"191","sp21","sp24",10,NA,NA,0.0359561134775373,0,0.1
"192","sp21","sp25",1,NA,NA,0.108290875576594,0,0.1
"193","sp21","sp25",2,NA,NA,0.0224699390087343,0,0.1
"194","sp21","sp25",3,NA,NA,0.0112268677485962,0,0.1
"195","sp21","sp25",4,NA,NA,0.0123146950431946,0,0.1
"196","sp21","sp25",5,NA,NA,0.0171640372717981,0,0.1
"197","sp21","sp25",6,NA,NA,0.021886563990179,0,0.1
"198","sp21","sp25",7,NA,NA,0.022693819192737,0,0.1
"199","sp21","sp25",8,NA,NA,0.030033898799875,0,0.1
"200","sp21","sp25",9,NA,NA,0.0134873865120109,0,0.1
"201","sp21","sp25",10,NA,NA,0.0251652138727946,0,0.1
"202","sp21","sp26",1,NA,NA,0.00884687906240021,0,0.1
"203","sp21","sp26",2,NA,NA,0.00685282809925299,0,0.1
"204","sp21","sp26",3,NA,NA,0.0927462715727798,0,0.1
"205","sp21","sp26",4,NA,NA,0.0501534783637861,0,0.1
"206","sp21","sp26",5,NA,NA,0.00685518827607888,0,0.1
"207","sp21","sp26",6,NA,NA,0.00433686599300049,0,0.1
"208","sp21","sp26",7,NA,NA,0.00400485859335759,0,0.1
"209","sp21","sp26",8,NA,NA,0.0152561441813136,0,0.1
"210","sp21","sp26",9,NA,NA,0.0197398978172326,0,0.1
"211","sp21","sp26",10,NA,NA,0.00362682729630658,0,0.1
"212","sp21","sp27",1,NA,NA,0.0119318939433646,0,0.1
"213","sp21","sp27",2,NA,NA,0.0918195951689369,0,0.1
"214","sp21","sp27",3,NA,NA,0.13824038142594,0,0.1
"215","sp21","sp27",4,NA,NA,0.0570307626895858,0,0.1
"216","sp21","sp27",5,NA,NA,0.116226963074101,0,0.1
"217","sp21","sp27",6,NA,NA,0.0791998352393497,0,0.1
"218","sp21","sp27",7,NA,NA,0.034893685029764,0,0.1
"219","sp21","sp27",8,NA,NA,0.0925124048189118,0,0.1
"220","sp21","sp27",9,NA,NA,0.109535160391909,0,0.1
"221","sp21","sp27",10,NA,NA,0.0382557692905359,0,0.1
"222","sp21","sp28",1,NA,NA,0.00847780029124446,0,0.1
"223","sp21","sp28",2,NA,NA,0.146219778150097,0,0.1
"224","sp21","sp28",3,NA,NA,0.100944452900245,0,0.1
"225","sp21","sp28",4,NA,NA,0.0607181056484613,0,0.1
"226","sp21","sp28",5,NA,NA,0.115480669234082,0,0.1
"227","sp21","sp28",6,NA,NA,0.100378665725372,0,0.1
"228","sp21","sp28",7,NA,NA,0.0975256281840025,0,0.1
"229","sp21","sp28",8,NA,NA,0.102742319588652,0,0.1
"230","sp21","sp28",9,NA,NA,0.0779783983130697,0,0.1
"231","sp21","sp28",10,NA,NA,0.157840741613663,0,0.1
"232","sp21","sp29",1,NA,NA,0.011811567596908,0,0.1
"233","sp21","sp29",2,NA,NA,0.0201501419885397,0,0.1
"234","sp21","sp29",3,NA,NA,0.0278749624705624,0,0.1
"235","sp21","sp29",4,NA,NA,0.00363455960265241,0,0.1
"236","sp21","sp29",5,NA,NA,0.0206179488972222,0,0.1
"237","sp21","sp29",6,NA,NA,0.0203528180076028,0,0.1
"238","sp21","sp29",7,NA,NA,0.0137969199433451,0,0.1
"239","sp21","sp29",8,NA,NA,0.00929610510270587,0,0.1
"240","sp21","sp29",9,NA,NA,0.00576390443076907,0,0.1
"241","sp21","sp29",10,NA,NA,0.00881661954215154,0,0.1
"242","sp21","sp30",1,NA,NA,0.0121078428175954,0,0.1
"243","sp21","sp30",2,NA,NA,0.202946413204882,0,0.1
"244","sp21","sp30",3,NA,NA,0.154163459963419,0,0.1
"245","sp21","sp30",4,NA,NA,0.0801179707206786,0,0.1
"246","sp21","sp30",5,NA,NA,0.118354274250101,0,0.1
"247","sp21","sp30",6,NA,NA,0.12442309460137,0,0.1
"248","sp21","sp30",7,NA,NA,0.105413276540043,0,0.1
"249","sp21","sp30",8,NA,NA,0.0714507085069034,0,0.1
"250","sp21","sp30",9,NA,NA,0.0819489446303551,0,0.1
"251","sp21","sp30",10,NA,NA,0.0883250478118894,0,0.1
"252","sp21","sp32",3,NA,NA,-0.00373099197049595,0,0.1
"253","sp21","sp37",2,NA,NA,-0.00160743500286509,0,0.1
"254","sp21","sp40",1,-0.0499024676921181,-0.0289282788255124,-0.0566067898511844,3,0.1
"255","sp21","sp40",5,NA,NA,-0.000970313245045653,0,0.1
"256","sp21","sp42",5,NA,NA,-0.00057934221042735,0,0.1
"257","sp21","sp46",1,NA,NA,-0.00438580614327425,0,0.1
"258","sp21","sp49",1,NA,NA,-0.000248938030787432,0,0.1
"259","sp22","sp23",1,NA,NA,0.13629779423866,0,0.1
"260","sp22","sp23",2,NA,NA,0.142754088558711,0,0.1
"261","sp22","sp23",3,NA,NA,0.151061882085029,0,0.1
"262","sp22","sp23",4,NA,NA,0.0206531370493403,0,0.1
"263","sp22","sp23",5,NA,NA,0.0903249217944627,0,0.1
"264","sp22","sp23",6,NA,NA,0.0310285496591387,0,0.1
"265","sp22","sp23",7,NA,NA,0.0732432217445985,0,0.1
"266","sp22","sp23",8,NA,NA,0.0668813137483777,0,0.1
"267","sp22","sp23",9,NA,NA,0.0272907015440865,0,0.1
"268","sp22","sp23",10,NA,NA,0.134467145623057,0,0.1
"269","sp22","sp24",1,NA,NA,0.150586820854824,0,0.1
"270","sp22","sp24",2,NA,NA,0.125726758645723,0,0.1
"271","sp22","sp24",3,NA,NA,0.151385988584411,0,0.1
"272","sp22","sp24",4,NA,NA,0.122013256605122,0,0.1
"273","sp22","sp24",5,NA,NA,0.107791720626743,0,0.1
"274","sp22","sp24",6,NA,NA,0.105552135885415,0,0.1
"275","sp22","sp24",7,NA,NA,0.145071269328909,0,0.1
"276","sp22","sp24",8,NA,NA,0.16169858793471,0,0.1
"277","sp22","sp24",9,NA,NA,0.0907122984362649,0,0.1
"278","sp22","sp24",10,NA,NA,0.0971837271586944,0,0.1
"279","sp22","sp25",1,NA,NA,0.179787970521154,0,0.1
"280","sp22","sp25",2,NA,NA,0.0948336511202795,0,0.1
"281","sp22","sp25",3,NA,NA,0.0843181561295732,0,0.1
"282","sp22","sp25",4,NA,NA,0.0323204471335559,0,0.1
"283","sp22","sp25",5,NA,NA,0.0243168615468087,0,0.1
"284","sp22","sp25",6,NA,NA,0.11091899789471,0,0.1
"285","sp22","sp25",7,NA,NA,0.0792942753997464,0,0.1
"286","sp22","sp25",8,NA,NA,0.0422338263050114,0,0.1
"287","sp22","sp25",9,NA,NA,0.0172426519236548,0,0.1
"288","sp22","sp25",10,NA,NA,0.0432964081975689,0,0.1
"289","sp22","sp26",1,NA,NA,0.0137798797751478,0,0.1
"290","sp22","sp26",2,NA,NA,0.127353947264533,0,0.1
"291","sp22","sp26",3,NA,NA,0.0510692668685997,0,0.1
"292","sp22","sp26",4,NA,NA,0.0193183929899923,0,0.1
"293","sp22","sp26",5,NA,NA,0.0314275166946653,0,0.1
"294","sp22","sp26",6,NA,NA,0.044445287713817,0,0.1
"295","sp22","sp26",7,NA,NA,0.0314936510061307,0,0.1
"296","sp22","sp26",8,NA,NA,0.0767184527027239,0,0.1
"297","sp22","sp26",9,NA,NA,0.00390517512372191,0,0.1
"298","sp22","sp26",10,NA,NA,0.0306802892053369,0,0.1
"299","sp22","sp27",1,NA,NA,0.102157291834983,0,0.1
"300","sp22","sp27",2,NA,NA,0.0342259724648933,0,0.1
"301","sp22","sp27",3,NA,NA,0.0640145405519092,0,0.1
"302","sp22","sp27",4,NA,NA,0.0627876035004335,0,0.1
"303","sp22","sp27",5,NA,NA,0.0193887017208475,0,0.1
"304","sp22","sp27",6,NA,NA,0.0826033390024822,0,0.1
"305","sp22","sp27",7,NA,NA,0.116459238864222,0,0.1
"306","sp22","sp27",8,NA,NA,0.104652828910048,0,0.1
"307","sp22","sp27",9,NA,NA,0.0119622998053182,0,0.1
"308","sp22","sp27",10,NA,NA,0.168685704862059,0,0.1
"309","sp22","sp28",1,NA,NA,0.0132021090231749,0,0.1
"310","sp22","sp28",2,NA,NA,0.110613388341541,0,0.1
"311","sp22","sp28",3,NA,NA,0.118286638686696,0,0.1
"312","sp22","sp28",4,NA,NA,0.202011412140432,0,0.1
"313","sp22","sp28",5,NA,NA,0.0961701195305272,0,0.1
"314","sp22","sp28",6,NA,NA,0.141506111142735,0,0.1
"315","sp22","sp28",7,NA,NA,0.143355709423809,0,0.1
"316","sp22","sp28",8,NA,NA,0.111582447625893,0,0.1
"317","sp22","sp28",9,NA,NA,0.133520593148145,0,0.1
"318","sp22","sp28",10,NA,NA,0.0573875973132107,0,0.1
"319","sp22","sp29",1,NA,NA,0.021544339441713,0,0.1
"320","sp22","sp29",2,NA,NA,0.0210735139720799,0,0.1
"321","sp22","sp29",3,NA,NA,0.0581768734501309,0,0.1
"322","sp22","sp29",4,NA,NA,0.0055647230045094,0,0.1
"323","sp22","sp29",5,NA,NA,0.0417527182455116,0,0.1
"324","sp22","sp29",6,NA,NA,0.0143953381500498,0,0.1
"325","sp22","sp29",7,NA,NA,0.00614889497575371,0,0.1
"326","sp22","sp29",8,NA,NA,0.00636302434895798,0,0.1
"327","sp22","sp29",9,NA,NA,0.00402344476161447,0,0.1
"328","sp22","sp29",10,NA,NA,0.00815251090325387,0,0.1
"329","sp22","sp30",1,NA,NA,0.020424197310987,0,0.1
"330","sp22","sp30",2,NA,NA,0.08776621253541,0,0.1
"331","sp22","sp30",3,NA,NA,0.0464314170091516,0,0.1
"332","sp22","sp30",4,NA,NA,0.148696882010207,0,0.1
"333","sp22","sp30",5,NA,NA,0.038136909571613,0,0.1
"334","sp22","sp30",6,NA,NA,0.0299960921565678,0,0.1
"335","sp22","sp30",7,NA,NA,0.0295889366371859,0,0.1
"336","sp22","sp30",8,NA,NA,0.0572008891331503,0,0.1
"337","sp22","sp30",9,NA,NA,0.0547293285876693,0,0.1
"338","sp22","sp30",10,NA,NA,0.0812071190808422,0,0.1
"339","sp22","sp32",3,NA,NA,-0.00112371144291261,0,0.1
"340","sp22","sp37",2,NA,NA,-0.000695151394254459,0,0.1
"341","sp22","sp37",10,NA,0.00022540557002168,NA,0,0.1
"342","sp22","sp38",1,NA,NA,-0.000247108504157309,0,0.1
"343","sp22","sp40",1,NA,NA,-0.00149797000494722,0,0.1
"344","sp22","sp40",5,NA,NA,-0.000808058538839641,0,0.1
"345","sp22","sp42",5,NA,NA,-0.000820773346587645,0,0.1
"346","sp22","sp46",1,NA,NA,-0.00591296721185998,0,0.1
"347","sp22","sp49",1,NA,NA,-0.00213133264348544,0,0.1
"348","sp23","sp24",1,NA,NA,0.0790517264413066,0,0.1
"349","sp23","sp24",2,NA,NA,0.124868288081657,0,0.1
"350","sp23","sp24",3,NA,NA,0.0719820995750332,0,0.1
"351","sp23","sp24",4,NA,NA,0.0270087478865773,0,0.1
"352","sp23","sp24",5,NA,NA,0.108532782796909,0,0.1
"353","sp23","sp24",6,NA,NA,0.0706668079519166,0,0.1
"354","sp23","sp24",7,NA,NA,0.201887669210348,0,0.1
"355","sp23","sp24",8,NA,NA,0.17653763865037,0,0.1
"356","sp23","sp24",9,NA,NA,0.184056504224705,0,0.1
"357","sp23","sp24",10,NA,NA,0.0736547706310027,0,0.1
"358","sp23","sp25",1,NA,NA,0.123488995585134,0,0.1
"359","sp23","sp25",2,NA,NA,0.215309789789006,0,0.1
"360","sp23","sp25",3,NA,NA,0.160677018715956,0,0.1
"361","sp23","sp25",4,NA,NA,0.07685291452184,0,0.1
"362","sp23","sp25",5,NA,NA,0.196244990401053,0,0.1
"363","sp23","sp25",6,NA,NA,0.206763946048066,0,0.1
"364","sp23","sp25",7,NA,NA,0.207222169513092,0,0.1
"365","sp23","sp25",8,NA,NA,0.272959516433346,0,0.1
"366","sp23","sp25",9,NA,NA,0.251429554572431,0,0.1
"367","sp23","sp25",10,NA,NA,0.229029321201659,0,0.1
"368","sp23","sp26",1,NA,NA,0.00823649795190604,0,0.1
"369","sp23","sp26",2,NA,NA,0.0195234729522661,0,0.1
"370","sp23","sp26",3,NA,NA,0.0510525618531732,0,0.1
"371","sp23","sp26",4,NA,NA,0.00314241904324875,0,0.1
