"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","TaxaSize"
"5531","10",NA,NA,-0.00707841936562086,0,100
"5532","7",NA,NA,-0.000209655545467186,0,100
"5533","10",NA,NA,-0.00115630271721786,0,100
"5534","2",NA,NA,-0.000368779994640292,0,100
"5535","3",NA,NA,-0.00048126800537003,0,100
"5536","6",NA,NA,-0.00139001836869966,0,100
"5537","7",NA,NA,-0.00177146721496897,0,100
"5538","10",NA,NA,-0.000995066466545937,0,100
"5539","2",NA,NA,-0.00116362245892469,0,100
"5540","3",NA,NA,-0.00533856998584868,0,100
"5541","5",-0.00186471923337528,-0.000207987454785071,NA,1,100
"5542","6",NA,NA,-0.00410816991238118,0,100
"5543","7",NA,NA,-0.0125684973216954,0,100
"5544","8",-0.000743526010276738,-0.000247347057751868,NA,1,100
"5545","9",NA,NA,-0.0012095562392682,0,100
"5546","10",NA,NA,-0.00673719950783371,0,100
"5547","2",NA,NA,-0.000210139540717685,0,100
"5548","3",NA,NA,-0.00153238405426466,0,100
"5549","6",NA,NA,-0.00032307629753114,0,100
"5550","7",NA,NA,-0.00214577471549393,0,100
"5551","9",NA,NA,-0.000291472815080985,0,100
"5552","10",NA,NA,-0.00175169419465746,0,100
"5553","2",NA,NA,-0.00139004510842212,0,100
"5554","3",NA,NA,-0.00792626733483622,0,100
"5555","6",NA,NA,-0.0023899920089774,0,100
"5556","7",NA,NA,-0.0078229070925698,0,100
"5557","9",NA,NA,-0.00152832369149485,0,100
"5558","10",NA,NA,-0.0106532611046833,0,100
"5559","2",NA,NA,-0.00248628869911098,0,100
"5560","3",NA,NA,-0.00198746326481092,0,100
"5561","6",NA,NA,-0.00166890328870284,0,100
"5562","7",NA,NA,-0.00407733786906333,0,100
"5563","9",NA,NA,-0.000458193073559025,0,100
"5564","10",NA,NA,-0.00268562548385483,0,100
"5565","2",-0.10314204516726,-0.0984624771306002,-0.0200684147651327,3,100
"5566","3",-0.0859164955950515,-0.074882314500034,-0.0773330928388006,3,100
"5567","5",NA,-0.0332901452419332,NA,0,100
"5568","6",NA,-0.00392796623507134,-0.0337401399617916,2,100
"5569","7",-0.162069392897962,-0.13681183267243,-0.125979803065778,3,100
"5570","8",-0.0278175433720962,-0.00924243398177393,NA,1,100
"5571","9",NA,NA,-0.0325494370349974,0,100
"5572","10",-0.0934436061179333,-0.0741147765920483,-0.113676312137235,3,100
"5573","2",NA,NA,-0.000578187429076474,0,100
"5574","3",NA,NA,-0.000883092636756373,0,100
"5575","6",NA,NA,-0.0030220117754424,0,100
"5576","7",NA,NA,-0.00322517109888352,0,100
"5577","9",NA,NA,-0.000824125719001153,0,100
"5578","10",NA,NA,-0.00418243367871059,0,100
"5579","2",NA,NA,-0.000345777055248897,0,100
"5580","3",NA,NA,-0.00200310631734178,0,100
"5581","6",NA,NA,-0.000461281850059069,0,100
"5582","7",NA,NA,-0.00234440957532917,0,100
"5583","9",NA,NA,-0.000437902080068869,0,100
"5584","10",NA,NA,-0.00219229992942617,0,100
"5585","2",NA,NA,-0.000349716355936351,0,100
"5586","3",NA,NA,-0.00214273718645207,0,100
"5587","6",NA,NA,-0.000730031515265705,0,100
"5588","7",NA,NA,-0.00261300279123478,0,100
"5589","9",NA,NA,-0.000671461334609075,0,100
"5590","10",NA,NA,-0.00391257538221137,0,100
"5591","2",NA,NA,-0.000547455161472789,0,100
"5592","3",NA,NA,-0.00316145219570287,0,100
"5593","6",NA,0.00049213742562782,-0.00195955203236099,2,100
"5594","7",NA,NA,-0.00666479852383852,0,100
"5595","9",NA,NA,-0.000596207191331266,0,100
"5596","10",NA,NA,-0.00581435667580519,0,100
"5597","3",-0.0323172605627881,-0.0219076609781543,NA,1,100
"5598","6",-0.000457576502324532,NA,NA,0,100
"5599","3",NA,NA,0.00056550843055629,0,100
"5600","6",NA,NA,0.000247579507476802,0,100
"5601","7",0.0373261934369857,0.0716272180989177,0.048976593650238,3,100
"5602","10",NA,NA,0.00281227463346941,0,100
"5603","2",NA,0.000801054729746506,NA,0,100
"5604","7",0.000330632941350813,NA,0.00107868816064775,0,100
"5605","7",NA,NA,0.000237297617310466,0,100
"5606","3",0.0101702856743739,NA,NA,0,100
"5607","2",0.0137986544734054,0.0181186696453285,NA,1,100
"5608","6",0.124318808777475,0.107039172737323,0.0896690688059091,3,100
"5609","4",-0.000324782710085089,NA,NA,0,100
"5610","8",NA,NA,-0.000203216074907149,0,100
"5611","8",NA,NA,-0.000651794832811167,0,100
"5612","8",NA,NA,-0.000598522990170072,0,100
"5613","2",-0.00406558447618534,NA,NA,0,100
"5614","4",NA,0.00356630615595031,NA,0,100
"5615","8",NA,NA,-0.00050435757833096,0,100
"5616","1",-0.0381440365083578,-0.0137808510355163,NA,1,100
"5617","3",-0.0201924855565507,NA,NA,0,100
"5618","8",NA,NA,-0.000634826278588109,0,100
"5619","8",NA,NA,-0.000488754426416704,0,100
"5620","8",NA,NA,-0.000885280083588216,0,100
"5621","4",-0.0213778407080386,-0.0338016556784672,NA,1,100
"5622","6",NA,-0.00264247286710322,NA,0,100
"5623","8",-0.0212498765470898,-0.0112213313889206,-0.00948115490961316,3,100
"5624","8",NA,NA,-0.000247636004308281,0,100
"5625","8",NA,NA,-0.000512629803222506,0,100
"5626","5",0.000335173225879527,0.000234703182737019,NA,1,100
"5627","4",-0.000457928632630795,-0.000461925691691001,NA,1,100
"5628","1",-0.0334247531102007,-0.0270230502249615,NA,1,100
"5629","1",-0.000582478851503505,NA,NA,0,100
"5630","1",0.0121734827639737,NA,NA,0,100
"5631","6",-0.00876565307414917,NA,NA,0,100
"5632","2",NA,0.0409426772820373,NA,0,100
"5633","6",-0.0124005227970482,-0.0106323677521326,NA,1,100
"5634","4",-0.00187685423346606,-0.0121568804939209,NA,1,100
"5635","6",NA,-0.0119434273034048,NA,0,100
"5636","7",-0.0340497842041477,-0.016227517246829,NA,1,100
"5637","8",-0.00178134832078047,NA,NA,0,100
"5638","6",0.0383881743167928,0.0399969539942428,NA,1,100
"5639","2",NA,0.00111650205078252,NA,0,100
"5640","6",NA,-0.000513286235413101,NA,0,100
"5641","3",0.0153058134385735,NA,NA,0,100
"5642","7",0.022021449148853,0.00942538802944659,NA,1,100
"5643","2",NA,0.0338096365731726,NA,0,100
"5644","6",-0.00104717524940533,-0.00119612838696241,-0.000923817500478149,3,100
"5645","10",0.00025016965047555,NA,NA,0,100
"5646","7",0.000322416280519704,0.000437608336478508,NA,1,100
"5647","6",0.0623588788900485,0.0252224601471071,0.0153292140361669,3,100
"5648","10",0.0208861452256136,NA,NA,0,100
"5649","10",-0.00154284893195309,NA,NA,0,100
"5650","3",0.000373769412542379,NA,NA,0,100
"5651","10",0.016111672739562,0.0216846838220699,NA,1,100
"5652","9",0.0118114762203154,0.0102543398029705,0.00675340028461768,3,100
"5653","10",0.0440862124743023,NA,NA,0,100
"5654","1",-0.00278791284435897,NA,NA,0,100
"5655","10",-0.00121585855457916,NA,NA,0,100
"5656","1",0.00102566206541346,0.000410565831444456,NA,1,100
"5657","9",NA,NA,0.000221625978739772,0,100
"5658","8",NA,NA,0.000200047280480762,0,100
"5659","9",NA,NA,0.000286786025951114,0,100
"5660","1",0.00118658816775966,0.00046625390728143,NA,1,100
"5661","2",NA,NA,-0.00420085769517543,0,100
"5662","3",NA,NA,-0.00717527736858216,0,100
"5663","4",NA,NA,-0.00481046837970064,0,100
"5664","5",NA,NA,-0.00979767963462761,0,100
"5665","6",NA,NA,-0.00651838269512184,0,100
"5666","7",NA,NA,-0.000208525692856787,0,100
"5667","8",NA,NA,-0.00128489130370797,0,100
"5668","9",NA,NA,-0.0151731783813951,0,100
"5669","10",NA,NA,-0.00914473380629958,0,100
"5670","2",NA,NA,-0.000589770811862675,0,100
"5671","3",NA,NA,-0.00129430513488404,0,100
"5672","4",NA,NA,-0.00133855358199693,0,100
"5673","5",NA,NA,-0.00218213369566991,0,100
"5674","6",NA,NA,-0.00148179165752879,0,100
"5675","8",NA,NA,-0.00224714151179367,0,100
"5676","9",NA,NA,-0.00656360507637217,0,100
"5677","10",NA,NA,-0.00168062298640017,0,100
"5678","2",NA,NA,-0.00139058911271441,0,100
"5679","3",NA,NA,-0.00111970233010766,0,100
"5680","4",NA,NA,-0.000677191602130777,0,100
"5681","5",NA,NA,-0.0024200848237291,0,100
"5682","6",NA,NA,-0.00411160695932684,0,100
"5683","8",NA,NA,-0.00169869443469923,0,100
"5684","9",NA,NA,-0.0014764938519803,0,100
"5685","10",NA,NA,-0.00109273266408956,0,100
"5686","2",NA,NA,-0.00300140513758061,0,100
"5687","3",NA,NA,-0.00132675310803742,0,100
"5688","4",NA,NA,-0.00277684903500721,0,100
"5689","5",NA,NA,-0.0032397509351119,0,100
"5690","6",NA,NA,-0.00117391461199128,0,100
"5691","8",NA,NA,-0.000383996093607429,0,100
"5692","9",NA,NA,-0.00377877160670796,0,100
"5693","10",NA,NA,-0.00338338020367988,0,100
"5694","1",-0.0220447306548847,-0.0419795499609095,-0.00138986147562929,3,100
"5695","2",NA,NA,-0.00479027010333588,0,100
"5696","3",NA,NA,-0.00855320926001212,0,100
"5697","4",NA,NA,-0.00132683809546613,0,100
"5698","5",NA,NA,-0.00542454885688543,0,100
"5699","6",NA,NA,-0.00381532444767634,0,100
"5700","7",NA,NA,-0.000683542949998545,0,100
"5701","8",NA,NA,-0.000502162288574127,0,100
"5702","9",NA,NA,-0.0034880022233167,0,100
"5703","10",NA,NA,-0.00651502716764656,0,100
"5704","2",NA,NA,-0.000552283452868631,0,100
